# Banco de palabras del Juego del Ahorcado
# Formato: CATEGORIA;palabra;pista
# Categorias validas: ANIMALES, PAISES, DEPORTES, OBJETOS, COMIDAS

ANIMALES;gato;Felino domestico que maulla
ANIMALES;leon;Es el rey de la selva
ANIMALES;oso;Mamifero grande que hiberna
ANIMALES;pez;Vive en el agua y tiene aletas
ANIMALES;rana;Anfibio que salta y croa
ANIMALES;lobo;Canido salvaje que aulla
ANIMALES;mono;Primate muy agil y jugueton
ANIMALES;pato;Ave acuatica que hace cuac
ANIMALES;toro;Bovino macho de gran fuerza
ANIMALES;cabra;Da leche y trepa montanas
ANIMALES;perro;El mejor amigo del hombre
ANIMALES;tigre;Felino rayado de Asia
ANIMALES;burro;Equino de carga muy terco
ANIMALES;cisne;Ave blanca de cuello largo
ANIMALES;abeja;Insecto que produce miel
ANIMALES;zorro;Canido astuto de cola peluda
ANIMALES;buho;Ave nocturna de ojos grandes
ANIMALES;foca;Mamifero marino que aplaude
ANIMALES;puma;Felino americano sin melena
ANIMALES;loro;Ave colorida que imita voces
ANIMALES;caballo;Equino veloz para montar
ANIMALES;conejo;Roedor de orejas largas
ANIMALES;ardilla;Roedor que guarda nueces
ANIMALES;tortuga;Reptil lento con caparazon
ANIMALES;delfin;Mamifero marino muy listo
ANIMALES;gallina;Ave de corral que pone huevos
ANIMALES;serpiente;Reptil sin patas que repta
ANIMALES;elefante;Mamifero terrestre mas grande
ANIMALES;jirafa;Tiene el cuello mas largo
ANIMALES;canguro;Marsupial saltarin de Australia
ANIMALES;cocodrilo;Reptil de rio con grandes fauces
ANIMALES;mariposa;Insecto de alas coloridas
ANIMALES;murcielago;Unico mamifero que vuela
ANIMALES;rinoceronte;Tiene cuerno sobre la nariz
ANIMALES;hipopotamo;Pasa el dia dentro del agua
ANIMALES;chimpance;Primate muy inteligente
ANIMALES;flamenco;Ave rosada de una pata
ANIMALES;pinguino;Ave que nada y no vuela
ANIMALES;escorpion;Aracnido con aguijon venenoso
ANIMALES;avestruz;Ave mas grande que no vuela
PAISES;peru;Pais de Machu Picchu
PAISES;cuba;Isla del Caribe y los puros
PAISES;chile;Pais largo y angosto del sur
PAISES;china;Pais mas poblado de Asia
PAISES;haiti;Comparte isla con Republica Dominicana
PAISES;italia;Pais con forma de bota
PAISES;japon;Pais del sol naciente
PAISES;egipto;Pais de las piramides
PAISES;rusia;El pais mas extenso del mundo
PAISES;india;Pais del Taj Mahal
PAISES;brasil;Pais del carnaval y el futbol
PAISES;mexico;Pais de los mariachis
PAISES;canada;Pais de la hoja de arce
PAISES;francia;Pais de la torre Eiffel
PAISES;turquia;Pais entre Europa y Asia
PAISES;grecia;Cuna de la democracia
PAISES;noruega;Pais de los fiordos
PAISES;suecia;Pais nordico de Estocolmo
PAISES;polonia;Pais de Europa central
PAISES;bolivia;Pais del salar de Uyuni
